# j        y/delta             y+           Prod       P_strain      Pres_diff      Visc_diff      Turb_diff           Diss       Residual
132   0.521404E+00   0.335023E+03   0.454270E-02   0.195156E-17  -0.233804E-03   0.606477E-05   0.403482E-03  -0.470066E-02   0.177862E-04
133   0.528603E+00   0.339649E+03   0.441823E-02  -0.281893E-17  -0.238098E-03   0.596438E-05   0.427970E-03  -0.459611E-02   0.179570E-04
134   0.535834E+00   0.344295E+03   0.429571E-02   0.650521E-18  -0.241959E-03   0.466154E-05   0.453177E-03  -0.449357E-02   0.180208E-04
135   0.543096E+00   0.348961E+03   0.417486E-02  -0.173472E-17  -0.244337E-03   0.276441E-05   0.478098E-03  -0.439314E-02   0.182457E-04
136   0.550389E+00   0.353647E+03   0.405532E-02   0.368629E-17  -0.245389E-03   0.148241E-05   0.502063E-03  -0.429488E-02   0.185944E-04
137   0.557711E+00   0.358352E+03   0.393639E-02   0.130104E-17  -0.245232E-03   0.110051E-05   0.525294E-03  -0.419882E-02   0.187267E-04
138   0.565064E+00   0.363076E+03   0.381790E-02   0.867362E-18  -0.244319E-03   0.751636E-06   0.549578E-03  -0.410481E-02   0.190977E-04
139   0.572445E+00   0.367819E+03   0.370072E-02  -0.238524E-17  -0.243462E-03   0.109335E-05   0.573943E-03  -0.401303E-02   0.192654E-04
140   0.579855E+00   0.372580E+03   0.358562E-02  -0.650521E-18  -0.242924E-03   0.283270E-05   0.597432E-03  -0.392377E-02   0.191925E-04
141   0.587293E+00   0.377359E+03   0.347293E-02  -0.108420E-17  -0.243062E-03   0.428850E-05   0.621907E-03  -0.383658E-02   0.194796E-04
142   0.594759E+00   0.382156E+03   0.336297E-02   0.216840E-18  -0.244328E-03   0.491486E-05   0.646968E-03  -0.375104E-02   0.194879E-04
143   0.602252E+00   0.386971E+03   0.325554E-02   0.303577E-17  -0.247275E-03   0.583215E-05   0.672700E-03  -0.366719E-02   0.196067E-04
144   0.609771E+00   0.391802E+03   0.314948E-02   0.650521E-18  -0.252490E-03   0.719733E-05   0.700829E-03  -0.358509E-02   0.199262E-04
145   0.617317E+00   0.396651E+03   0.304377E-02   0.151788E-17  -0.259205E-03   0.779530E-05   0.731906E-03  -0.350435E-02   0.199184E-04
146   0.624888E+00   0.401515E+03   0.293821E-02  -0.173472E-17  -0.266124E-03   0.775504E-05   0.765172E-03  -0.342488E-02   0.201372E-04
147   0.632484E+00   0.406396E+03   0.283317E-02   0.216840E-18  -0.273404E-03   0.825566E-05   0.799476E-03  -0.334707E-02   0.204219E-04
148   0.640105E+00   0.411293E+03   0.272911E-02   0.520417E-17  -0.281270E-03   0.903238E-05   0.834577E-03  -0.327093E-02   0.205258E-04
149   0.647750E+00   0.416205E+03   0.262630E-02  -0.542101E-18  -0.288730E-03   0.962175E-05   0.870040E-03  -0.319633E-02   0.209020E-04
150   0.655419E+00   0.421133E+03   0.252489E-02   0.455365E-17  -0.294562E-03   0.101127E-04   0.904123E-03  -0.312339E-02   0.211738E-04
151   0.663110E+00   0.426075E+03   0.242538E-02   0.325261E-18  -0.298073E-03   0.100417E-04   0.936064E-03  -0.305218E-02   0.212338E-04
152   0.670824E+00   0.431031E+03   0.232810E-02   0.325261E-17  -0.298956E-03   0.922773E-05   0.965617E-03  -0.298261E-02   0.213759E-04
153   0.678561E+00   0.436002E+03   0.223293E-02  -0.314419E-17  -0.297785E-03   0.853107E-05   0.992402E-03  -0.291475E-02   0.213297E-04
154   0.686318E+00   0.440987E+03   0.213974E-02  -0.119262E-17  -0.295223E-03   0.795781E-05   0.101698E-02  -0.284839E-02   0.210692E-04
155   0.694097E+00   0.445985E+03   0.204853E-02   0.542101E-18  -0.291225E-03   0.782073E-05   0.103957E-02  -0.278367E-02   0.210215E-04
156   0.701896E+00   0.450996E+03   0.195924E-02  -0.238524E-17  -0.286597E-03   0.809207E-05   0.106077E-02  -0.272068E-02   0.208273E-04
157   0.709715E+00   0.456020E+03   0.187194E-02   0.151788E-17  -0.282502E-03   0.813075E-05   0.108222E-02  -0.265920E-02   0.205880E-04
158   0.717554E+00   0.461057E+03   0.178662E-02  -0.238524E-17  -0.279519E-03   0.880275E-05   0.110407E-02  -0.259956E-02   0.204173E-04
159   0.725411E+00   0.466106E+03   0.170281E-02   0.433681E-18  -0.277594E-03   0.989652E-05   0.112687E-02  -0.254175E-02   0.202396E-04
160   0.733287E+00   0.471166E+03   0.161978E-02   0.650521E-18  -0.276126E-03   0.106596E-04   0.115114E-02  -0.248548E-02   0.199766E-04
161   0.741181E+00   0.476238E+03   0.153717E-02  -0.216840E-17  -0.274483E-03   0.118924E-04   0.117605E-02  -0.243088E-02   0.197538E-04
