"Iteration","Turbolent KE - Vol Avg Monitor: Turbolent KE - Vol Avg Monitor (J/kg)","Velocity - Vol Avg Monitor: Velocity - Vol Avg Monitor (m/s)"
426.0,1.1820324480757684E8,175236.49644322155
429.0,1.1805102572870292E8,174982.53621048923
432.0,1.1789633915557918E8,174728.95217769162
435.0,1.1773901251403292E8,174475.74089057444
439.0,1.175248906419412E8,174138.6998929713
442.0,1.1736088290220757E8,173886.34559572116
445.0,1.1719384203211199E8,173634.35331812603
448.0,1.1702369232262291E8,173382.719958318
451.0,1.1685037363365377E8,173131.44248929192
454.0,1.1667384049976778E8,172880.51799377726
457.0,1.1649405759900984E8,172629.9436114023
460.0,1.1631098649196003E8,172379.71647852217
463.0,1.1612460428061438E8,172129.83376594863
467.0,1.1587093919602893E8,171797.18791908718
470.0,1.1567684010451409E8,171548.09850245103
473.0,1.15479468322406E8,171299.3448260961
476.0,1.1527885840323776E8,171050.9244492912
479.0,1.150750431302214E8,170802.83498038913
482.0,1.1486805173578444E8,170555.07399756333
485.0,1.1465792831710927E8,170307.63918917303
488.0,1.1444472917068389E8,170060.52833659196
491.0,1.1422851658870727E8,169813.73929220092
495.0,1.1393564793971598E8,169485.18417481348
498.0,1.1371264561175507E8,169239.13793849424
501.0,1.1348685653317834E8,168993.40673661136
504.0,1.1325836273362818E8,168747.98869691463
507.0,1.130272490010079E8,168502.88206379587
510.0,1.1279360103603971E8,168258.08514676086
513.0,1.1255750617802826E8,168013.59629450113
516.0,1.1231905404781844E8,167769.41394084578
519.0,1.120783361109595E8,167525.53657625391
522.0,1.118354448725763E8,167281.96271981974
526.0,1.1150837039084812E8,166957.66725046924
529.0,1.1126077158566749E8,166714.79615933105
532.0,1.1101131199151176E8,166472.2240858963
535.0,1.1076008500902991E8,166229.94981763398
538.0,1.1050718288179904E8,165987.97216676662
541.0,1.102526960575788E8,165746.28994184782
544.0,1.0999671315954524E8,165504.9020666307
547.0,1.0973932132351169E8,165263.80750334708
550.0,1.0948060614601365E8,165023.00524630642
554.0,1.09133739397806E8,164702.38864128647
557.0,1.0887226215015854E8,164462.26479398087
560.0,1.0860973729481848E8,164222.4302442225
563.0,1.0834624503280964E8,163982.8841941421
566.0,1.0808186610506837E8,163743.6259052655
569.0,1.0781667930991322E8,163504.65468552243
572.0,1.0755076121791147E8,163265.9698546368
575.0,1.0728418613143119E8,163027.57079126904
578.0,1.070170261184297E8,162789.45693585832
582.0,1.0666002322599694E8,162472.41450383054
585.0,1.0639176589209549E8,162234.96403910822
588.0,1.0612314751890108E8,161997.79707721013
591.0,1.0585423049444658E8,161760.91319512503
594.0,1.0558507498506628E8,161524.31196186465
597.0,1.0531573890785727E8,161287.99298956033
600.0,1.0504627789634058E8,161051.95591072628
603.0,1.0477674532069917E8,160816.2003789745
606.0,1.0450719233035617E8,160580.72606609736
609.0,1.0423766783733001E8,160345.53266363495
613.0,1.0387842659381644E8,160032.37796198486
616.0,1.0360914662432465E8,159797.83896097212
619.0,1.0334004282072048E8,159563.58000217998
622.0,1.030711552279184E8,159329.60085520655
625.0,1.0280252186941728E8,159095.9012994042
628.0,1.0253417877808626E8,158862.48114263802
631.0,1.0226615995505641E8,158629.34017889618
634.0,1.0199849737841442E8,158396.47822347615
637.0,1.0173122107278426E8,158163.89508369038
641.0,1.0137550206990558E8,157854.21765176256
644.0,1.0110923389219351E8,157622.28442868596
647.0,1.0084343927134807E8,157390.6294717107
650.0,1.0057814047616233E8,157159.25262368508
653.0,1.0031335805919467E8,156928.15372820004
656.0,1.0004911092466205E8,156697.3326343285
659.0,9.978541632426529E7,156466.78919459519
662.0,9.95222899767414E7,156236.5232656427
665.0,9.925974623029844E7,156006.53470475788
669.0,9.891061646103707E7,155700.31449197922
672.0,9.8649480466549E7,155470.9725319788
675.0,9.838896547847396E7,155241.9074299728
678.0,9.812908038992304E7,155013.11903724913
681.0,9.786983298230223E7,154784.6071856108
684.0,9.761122994242083E7,154556.37171110287
687.0,9.735327684483643E7,154328.41245570933
690.0,9.709597829864466E7,154100.7292553453
693.0,9.683933809046665E7,153873.32194331707
696.0,9.658335921227683E7,153646.1903437887
700.0,9.62430863429185E7,153343.77679335332
703.0,9.598865755865455E7,153117.28783808264
706.0,9.573489453968337E7,152891.07399491098
709.0,9.548179739287989E7,152665.13507771594
712.0,9.522936577273616E7,152439.47089927478
715.0,9.497759885809118E7,152214.0812550788
718.0,9.472649537002191E7,151988.96593322488
721.0,9.44760535888078E7,151764.12471998946
724.0,9.422627138846382E7,151539.557401268
728.0,9.389425007707387E7,151240.5599887769
731.0,9.364599652252191E7,151016.63090573152
734.0,9.339839286627428E7,150792.97497422
737.0,9.315143556426705E7,150569.59195885455
740.0,9.290512079850474E7,150346.4816248898
743.0,9.265944454565395E7,150123.6437381698
746.0,9.241440259003869E7,149901.07805014015
749.0,9.216999055653954E7,149678.78431271465
752.0,9.192620391919205E7,149456.7622792811
755.0,9.168303813844569E7,149235.01168950688
759.0,9.1359774887832E7,148939.76601613316
762.0,9.111803966216062E7,148718.64774503338
765.0,9.087690956258245E7,148497.8000195292
768.0,9.063637972036676E7,148277.22255793703
771.0,9.039644525974035E7,148056.91508384765
774.0,9.015710128761798E7,147836.8773025679
777.0,8.991834291018373E7,147617.10891875814
780.0,8.968016539037615E7,147397.60964896352
783.0,8.944256401931651E7,147178.37918817878
787.0,8.912665034537844E7,146886.48956010726
790.0,8.889037547608091E7,146667.88519360265
793.0,8.865466186029585E7,146449.54865677527
796.0,8.841950525665772E7,146231.47965912154
799.0,8.81849014461581E7,146013.67790341203
802.0,8.795084630679452E7,145796.14307952466
805.0,8.771733580117543E7,145578.87488253755
808.0,8.748436601429978E7,145361.8730074008
811.0,8.725193310674088E7,145145.13714381438
815.0,8.694285129799075E7,144856.56926610126
818.0,8.671165686185624E7,144640.4529177057
821.0,8.648098738753864E7,144424.6015624659
824.0,8.625083971057871E7,144209.0148905919
827.0,8.60212107406336E7,143993.6925851874
830.0,8.579209758096644E7,143778.63433338597
833.0,8.556349741487561E7,143563.83982017208
836.0,8.533540757339878E7,143349.30873230487
839.0,8.510782552248293E7,143135.04075683665
842.0,8.488074882691894E7,142921.0355711863
846.0,8.457876202323131E7,142636.10356857578
849.0,8.435285567481893E7,142422.7103557427
852.0,8.41274474036769E7,142209.57889753682
855.0,8.390253525923134E7,141996.70888438262
858.0,8.367811739351621E7,141784.1000048256
861.0,8.345419206418334E7,141571.751936747
864.0,8.323075763461411E7,141359.66436319205
867.0,8.300781254472141E7,141147.83697260046
870.0,8.278535531175555E7,140936.26945170673
874.0,8.248950219626361E7,140654.58312969044
877.0,8.2268178093874E7,140443.62075930793
880.0,8.204733776359452E7,140232.91722039224
883.0,8.182698016211836E7,140022.4722024809
886.0,8.160710431570716E7,139812.28539799756
889.0,8.138770925177613E7,139602.3564977009
892.0,8.116879415731744E7,139392.6851980314
895.0,8.095035828422378E7,139183.2711914604
898.0,8.073240094086139E7,138974.11416919492
902.0,8.04425344312211E7,138695.63736804618
905.0,8.022569126929691E7,138487.07879506663
908.0,8.000932471242872E7,138278.77619667354
911.0,7.979343428329733E7,138070.72927069443
914.0,7.957801955280986E7,137862.93771570714
917.0,7.936308013096255E7,137655.40123406568
920.0,7.914861566716446E7,137448.11952897554
923.0,7.893462585187705E7,137241.09230063815
926.0,7.872111043823831E7,137034.31925175866
929.0,7.850806916921613E7,136827.80008690327
933.0,7.822475133586195E7,136552.83562972627
936.0,7.801281560887356E7,136346.90772506077
939.0,7.78013533724033E7,136141.23273262428
942.0,7.759036447412953E7,135935.81036299389
945.0,7.737984877411349E7,135730.6403265391
948.0,7.716980614270282E7,135525.72233205635
951.0,7.696023645960377E7,135321.05608928087
954.0,7.675113964830755E7,135116.6413144152
957.0,7.65425156031474E7,134912.47772718486
961.0,7.626508547332025E7,134640.64985672856
964.0,7.605756421551244E7,134437.07127182963
967.0,7.585051542822117E7,134233.7429324714
970.0,7.564393901441076E7,134030.66456095182
973.0,7.543783493259414E7,133827.83587398793
976.0,7.523220307589403E7,133625.25659342908
979.0,7.502704334987661E7,133422.92644741005
982.0,7.482235564145632E7,133220.84515672465
985.0,7.461813984103164E7,133019.0124417504
989.0,7.434658597807038E7,132750.28835413203
992.0,7.414347081093703E7,132549.0345844066
995.0,7.394082710885216E7,132348.0284792864
998.0,7.373865471395636E7,132147.26976828979
1001.0,7.353695345477185E7,131946.75818237726
1004.0,7.333572314430204E7,131746.49345246912
1007.0,7.31349635807242E7,131546.47530787374
1010.0,7.293467454762292E7,131346.70348140795
1013.0,7.273485581284067E7,131147.17770663067
1016.0,7.253550712730928E7,130947.89771450822
1020.0,7.227043960178001E7,130682.57292748417
1023.0,7.207218662558061E7,130483.86539636721
1026.0,7.187440273787937E7,130285.4027664434
1029.0,7.167708761200315E7,130087.1847738287
1032.0,7.148024090230954E7,129889.21115496704
1035.0,7.128386224565691E7,129691.48164830425
1038.0,7.108795126243387E7,129493.99599319392
1041.0,7.089250755722313E7,129296.75392682754
1044.0,7.069753071705623E7,129099.75519123767
1048.0,7.043828708906093E7,128837.46827820978
1051.0,7.024439790887603E7,128641.03631088372
1054.0,7.005097410513231E7,128444.846814904
1057.0,6.985801519424473E7,128248.89953185266
1060.0,6.966552067646267E7,128053.1942025129
1063.0,6.947349003636152E7,127857.73057063666
1066.0,6.928192274273677E7,127662.50838019692
1069.0,6.909081824937156E7,127467.52737545685
1072.0,6.890017599455191E7,127272.78730264271
1076.0,6.864670436117114E7,127013.50821523003
1079.0,6.845713839654528E7,126819.32932759672
1082.0,6.82680326921646E7,126625.39052560172
1085.0,6.807938662341891E7,126431.69155580994
1088.0,6.789119955086774E7,126238.23216498861
1091.0,6.770347082104659E7,126045.01210171252
1094.0,6.751619976880573E7,125852.03111370577
1097.0,6.73293857190076E7,125659.2889495192
1100.0,6.714302798838322E7,125466.7853589446
1103.0,6.695712588127048E7,125274.5200906154
1107.0,6.67099639216041E7,125018.5366904814
1110.0,6.652512214522011E7,124826.82653443051
1113.0,6.634073356649104E7,124635.35386856837
1116.0,6.615679743048692E7,124444.11844405979
1119.0,6.597331297541622E7,124253.1200123635
1122.0,6.579027942990526E7,124062.35832437151
1125.0,6.560769601177021E7,123871.83313238855
1128.0,6.542556192995049E7,123681.54418845409
1131.0,6.524387638672912E7,123491.49124416616
1135.0,6.500232533448141E7,123238.45400013168
1138.0,6.482168325091585E7,123048.95075768868
1141.0,6.46414870081344E7,122859.6826917447
1144.0,6.446173578080508E7,122670.64955522717
1147.0,6.428242873489484E7,122481.85110159517
1150.0,6.410356503067692E7,122293.28708473236
1153.0,6.392514382282271E7,122104.95725856355
1156.0,6.374716426002107E7,121916.8613770011
1159.0,6.356962548579799E7,121728.99919498332
1163.0,6.333359130378291E7,121478.87939429525
1166.0,6.315707768509577E7,121291.56155752017
1169.0,6.298100197099095E7,121104.4766028435
1172.0,6.280536328439513E7,120917.62428545633
1175.0,6.2630160745092295E7,120731.00436038522
1178.0,6.245539346910575E7,120544.61658321421
1181.0,6.228106056903473E7,120358.46071045737
1184.0,6.210716115600734E7,120172.5364981915
1187.0,6.193369433800622E7,119986.84370319464
1190.0,6.176065922042185E7,119801.38208122778
1194.0,6.153061571277799E7,119554.45910100384
1197.0,6.135858440351336E7,119369.53593723774
1200.0,6.11869817971372E7,119184.84313699948
1203.0,6.101580699174825E7,119000.38045771161
1206.0,6.0845059085526556E7,118816.14765630387
1209.0,6.067473717567094E7,118632.1444905271
1212.0,6.050484035799479E7,118448.37071812639
1215.0,6.033536772812249E7,118264.82609674429
1218.0,6.016631838157511E7,118081.51038430032
1222.0,5.9941576126912996E7,117837.44509761797
1225.0,5.9773510915018134E7,117654.66256620835
1228.0,5.960586596400257E7,117472.10813842987
1231.0,5.943864036885794E7,117289.78157416891
1234.0,5.927183322465692E7,117107.68263204143
1237.0,5.9105443627351634E7,116925.81107116079
1240.0,5.893947067275939E7,116744.16665154099
1243.0,5.87739134575571E7,116562.74913286451
1246.0,5.86087710785078E7,116381.55827485924
1250.0,5.838922498149051E7,116140.32263162856
1253.0,5.822504704749094E7,115959.65971340872
1256.0,5.8061280947116464E7,115779.22265495511
1259.0,5.789792578172741E7,115599.01121679274
1262.0,5.773498065486319E7,115419.02515896843
1265.0,5.757244467091338E7,115239.26424260996
1268.0,5.74103169335823E7,115059.72822911972
1271.0,5.724859654583704E7,114880.41687981153
1274.0,5.708728260970984E7,114701.32995703313
1277.0,5.6926374228329375E7,114522.46722267028
1281.0,5.671245903722299E7,114284.33190360025
1284.0,5.6552493474636786E7,114105.99134842702
1287.0,5.6392930492114484E7,113927.87418545864
1290.0,5.623376920332555E7,113749.98017635572
1293.0,5.6075008722921535E7,113572.30908360097
1296.0,5.591664816500085E7,113394.86067041194
1299.0,5.5758686645211704E7,113217.63469942428
1302.0,5.56011232820761E7,113040.63093335382
1305.0,5.5443957196455166E7,112863.84913575755
1309.0,5.5235018885176316E7,112628.48494819166
1312.0,5.5078776366065495E7,112452.22015687682
1315.0,5.492292820116432E7,112276.17654540368
1318.0,5.476747351807169E7,112100.35387763484
1321.0,5.461241144497214E7,111924.75191735284
1324.0,5.445774111082435E7,111749.37042914028
1327.0,5.430346164511627E7,111574.2091775939
1330.0,5.414957217994646E7,111399.26792669656
1333.0,5.399607184968476E7,111224.54644084614
1337.0,5.379200856945757E7,110991.92590940274
1340.0,5.363941286162977E7,110817.71629201746
1343.0,5.348720341565142E7,110643.7256548454
1346.0,5.333537937498064E7,110469.95376273361
1349.0,5.318393988574371E7,110296.40038152352
1352.0,5.303288409310034E7,110123.06527768243
1355.0,5.288221114133101E7,109949.94821662357
1358.0,5.27319201759243E7,109777.0489634239
1361.0,5.258201034533973E7,109604.36728414163
1364.0,5.243248079819177E7,109431.90294484349
1368.0,5.223369815203381E7,109202.28817396775
1371.0,5.208505262999195E7,109030.33005555633
1374.0,5.193678456427786E7,108858.58850114878
1377.0,5.178889311078013E7,108687.0632773374
1380.0,5.16413774277341E7,108515.75415036886
1383.0,5.1494236675066896E7,108344.66088759125
1386.0,5.13474700130335E7,108173.78325672442
1389.0,5.1201076602602996E7,108003.121024643
1392.0,5.1055055607599206E7,107832.67395842726
1396.0,5.086093881947316E7,107605.74550505837
1399.0,5.071578355305292E7,107435.79959007668
1402.0,5.057099792548472E7,107266.06806886752
1405.0,5.0426581106443726E7,107096.55071073127
1408.0,5.028253226714064E7,106927.24728354021
1411.0,5.0138850579742834E7,106758.15755631549
1414.0,4.9995535217896275E7,106589.28129735461
1417.0,4.9852585356905475E7,106420.61827626648
1420.0,4.971000017089849E7,106252.1682626098
1424.0,4.9520452436555795E7,106027.89919116854
1427.0,4.9378714955857955E7,105859.94530024288
1430.0,4.923733940960369E7,105692.20365007673
1433.0,4.909632497972723E7,105524.67400967292
1436.0,4.895567085075308E7,105357.35614850748
1439.0,4.8815376208461374E7,105190.24983564253
1442.0,4.867544024033951E7,105023.35484195592
1445.0,4.853586213451225E7,104856.67093980755
1448.0,4.83966410767819E7,104690.1978997799
1451.0,4.825777625353048E7,104523.93549224966
1455.0,4.8073175898428425E7,104302.57953593037
1458.0,4.7935139141934834E7,104136.80771320789
1461.0,4.779745592494983E7,103971.24576236292
1464.0,4.766012544053572E7,103805.89345509851
1467.0,4.752314688481298E7,103640.75056319834
1470.0,4.7386519456830025E7,103475.81685837812
1473.0,4.7250242354688175E7,103311.09211233717
1476.0,4.7114314775793396E7,103146.57609724312
1479.0,4.6978735918574505E7,102982.26858503003
1483.0,4.679850518362278E7,102763.51584837754
1486.0,4.666373690672468E7,102599.69395929152
1489.0,4.652931469956725E7,102436.07981581785
1492.0,4.639523777375259E7,102272.67319277702
1495.0,4.626150534238987E7,102109.47386214243
1498.0,4.612811661831231E7,101946.48159749068
1501.0,4.599507081438678E7,101783.69617327054
1504.0,4.5862367145003535E7,101621.11736137187
1507.0,4.5730004825619765E7,101458.7449350981
1510.0,4.5597983072525136E7,101296.57866890432
1514.0,4.542248248560001E7,101080.67728476957
1517.0,4.5291252342062555E7,100918.99118449319
1520.0,4.5160360154339716E7,100757.51049643743
1523.0,4.502980514362104E7,100596.23499413846
1526.0,4.4899586533398874E7,100435.16445040781
1529.0,4.47697035509479E7,100274.29864045134
1532.0,4.464015542578195E7,100113.63733961032
1535.0,4.451094138871902E7,99953.18032358575
1538.0,4.438206066875023E7,99792.92736622466
1542.0,4.421073686643834E7,99579.57379178653
1545.0,4.408263088326429E7,99419.79609850033
1548.0,4.3954855647738166E7,99260.22171660278
1551.0,4.3827410389483176E7,99100.85042451223
1554.0,4.3700294340052515E7,98941.6819974383
1557.0,4.357350673473999E7,98782.71621016525
1560.0,4.344704681422192E7,98623.95283877748
1563.0,4.332091382270453E7,98465.39166092883
1566.0,4.3195107004090756E7,98307.0324543241
1570.0,4.30278706530061E7,98096.20063809308
1573.0,4.2902821967229255E7,97938.31182935902
1576.0,4.277809693987612E7,97780.62424906367
1579.0,4.2653694821914956E7,97623.13767604025
1582.0,4.252961486377813E7,97465.85188734665
1585.0,4.24058563139756E7,97308.76665953052
1588.0,4.228241842229792E7,97151.88177166594
1591.0,4.215930043962501E7,96995.19700261121
1594.0,4.203650161815674E7,96838.71213032909
1597.0,4.191402121405008E7,96682.42693354069
1601.0,4.175120804285932E7,96474.35689496463
1604.0,4.162946773313817E7,96318.53674744697
1607.0,4.15080433781282E7,96162.91553743175
1610.0,4.138693424146116E7,96007.49304337874
1613.0,4.1266139587156475E7,95852.26904528633
1616.0,4.114565868181918E7,95697.24332275167
1619.0,4.1025490793096185E7,95542.41565405589
1622.0,4.090563518892904E7,95387.78581979104
1625.0,4.078609113965412E7,95233.35360159045
1629.0,4.0627182454424694E7,95027.75099946115
1632.0,4.050836252949449E7,94873.77902896643
1635.0,4.038985172650231E7,94720.00394187345
1638.0,4.0271649316893145E7,94566.42551968773
1641.0,4.0153754575965144E7,94413.04354193722
1644.0,4.003616678156902E7,94259.85778831321
1647.0,3.991888521146979E7,94106.86803955004
1650.0,3.980190914512745E7,93954.07407803273
1653.0,3.968523786473295E7,93801.47568569508
1657.0,3.953014903242557E7,93598.31500279976
1660.0,3.941418614156307E7,93446.17208885816
1663.0,3.929852566230199E7,93294.22401849153
1666.0,3.91831668837776E7,93142.47057269143
1669.0,3.906810909623591E7,92990.91153155405
1672.0,3.8953351590306446E7,92839.54667735069
1675.0,3.8838893656594165E7,92688.37579242916
1678.0,3.872473458798858E7,92537.39865917197
1681.0,3.861087367945275E7,92386.61506083561
1684.0,3.849731022677102E7,92236.02478188647
1688.0,3.834635378355639E7,92035.5380888913
1691.0,3.823348166369989E7,91885.3980470673
1694.0,3.812090466604815E7,91735.45060081917
1697.0,3.800862209427941E7,91585.69553551073
1700.0,3.7896633254494354E7,91436.13263395728
1703.0,3.778493745539482E7,91286.76168078181
1706.0,3.767353400815657E7,91137.58245915773
1709.0,3.756242222411187E7,90988.59475261434
1712.0,3.745160141364999E7,90839.79834678915
1716.0,3.730429176994275E7,90641.70034520938
1719.0,3.719414722561063E7,90493.3494699694
1722.0,3.708429136658146E7,90345.1891760112
1725.0,3.6974723507487185E7,90197.21924724377
1728.0,3.686544296273606E7,90049.43947193232
1731.0,3.675644905056009E7,89901.84963353831
1734.0,3.664774109418633E7,89754.44951685444
1737.0,3.6539318414761335E7,89607.23890799924
1740.0,3.643118033447982E7,89460.2175927247
1744.0,3.628743776928078E7,89264.48325916237
1747.0,3.617996113109948E7,89117.9027987564
1750.0,3.607276685040486E7,88971.51092080459
1753.0,3.5965854257348575E7,88825.30741318442
1756.0,3.585922268186755E7,88679.29206188183
1759.0,3.575287145531542E7,88533.46465282992
1762.0,3.5646799910890445E7,88387.82497324112
1765.0,3.554100738179571E7,88242.3728118444
1768.0,3.543549320032258E7,88097.10795427553
1771.0,3.533025670377669E7,87952.0301877548
1775.0,3.519037218024664E7,87758.88383140841
1778.0,3.508578103025759E7,87614.2417852788
1781.0,3.498146536122952E7,87469.78611892796
1784.0,3.487742451669381E7,87325.51662262494
1787.0,3.4773657843116246E7,87181.43308371928
1790.0,3.4670164690313555E7,87037.53529211548
1793.0,3.456694441016897E7,86893.82303575252
1796.0,3.446399635394529E7,86750.29610321211
1799.0,3.436131987179665E7,86606.95428417664
1803.0,3.422483922374449E7,86416.11944951372
1806.0,3.4122793896255374E7,86273.20874165726
1809.0,3.402101798893921E7,86130.48244220478
1812.0,3.3919510859386414E7,85987.94034062346
1815.0,3.3818271865951635E7,85845.5822282818
1818.0,3.371730036765887E7,85703.40789655138
1821.0,3.361659572565046E7,85561.41713452854
1824.0,3.3516157304171976E7,85419.60973141577
1827.0,3.341598446933841E7,85277.98547759253
1831.0,3.3282832726909935E7,85089.43767530327
1834.0,3.318327712428935E7,84948.23995099151
1837.0,3.3083984995503854E7,84807.22467725468
1840.0,3.298495571142457E7,84666.39164529051
1843.0,3.288618864338841E7,84525.74064628768
1846.0,3.2787683162124753E7,84385.27147074572
1849.0,3.2689438640943836E7,84244.9839097511
1852.0,3.2591454455921743E7,84104.87775471596
1855.0,3.249372998327361E7,83964.95279620169
1858.0,3.2396264599039774E7,83825.20882505359
1862.0,3.2266712707204565E7,83639.16470958885
1865.0,3.2169849449486665E7,83499.84223971309
