"Time","Total Kinetic Energy (integral of KE density) Monitor - Time: Total Kinetic Energy (integral of KE density) Monitor - Time (kg-m^5/s^2)"
0.02,9.869182935494534
0.04,9.868790246387578
0.06,9.86842358467389
0.08,9.868052755755752
0.1,9.867667784607946
0.12000000000000001,9.867280885256227
0.14,9.866891621627108
0.16,9.86649593287115
0.18,9.866093565781341
0.19999999999999998,9.865684860591479
0.21999999999999997,9.865271618196152
0.23999999999999996,9.864854702038059
0.25999999999999995,9.864433254133115
0.27999999999999997,9.864007527892998
0.3,9.863577838487895
0.32,9.863144435972494
0.34,9.862707766636452
0.36000000000000004,9.86226787732694
0.38000000000000006,9.861824845614986
0.4000000000000001,9.861378641308207
0.4200000000000001,9.86092954376607
0.4400000000000001,9.860477672728228
0.46000000000000013,9.860022925255153
0.48000000000000015,9.85956546074034
0.5000000000000001,9.859105718489154
0.5200000000000001,9.85864335867624
0.5400000000000001,9.858178804135193
0.5600000000000002,9.857712097939245
0.5800000000000002,9.857243251616907
0.6000000000000002,9.856772236231262
0.6200000000000002,9.856299279331978
0.6400000000000002,9.85582444925325
0.6600000000000003,9.855347793640263
0.6800000000000003,9.854869332996254
0.7000000000000003,9.85438896918037
0.7200000000000003,9.853906920716113
0.7400000000000003,9.853423434919918
0.7600000000000003,9.852938483023777
0.7800000000000004,9.852452036052135
0.8000000000000004,9.85196411880047
0.8200000000000004,9.851474915317384
0.8400000000000004,9.850984371651183
0.8600000000000004,9.850492415944931
0.8800000000000004,9.849999289177209
0.9000000000000005,9.84950493687779
0.9200000000000005,9.84900934075976
0.9400000000000005,9.84851259140102
0.9600000000000005,9.848014696681275
0.9800000000000005,9.847515771374576
1.0000000000000004,9.847015811363482
1.0200000000000005,9.846514853870671
1.0400000000000005,9.846012940321032
1.0600000000000005,9.845510093373868
1.0800000000000005,9.845006164788325
1.1000000000000005,9.844501124281406
1.1200000000000006,9.843995274054912
1.1400000000000006,9.843488616248395
1.1600000000000006,9.842981230971244
1.1800000000000006,9.842473003715282
1.2000000000000006,9.841963866543765
1.2200000000000006,9.84145388187034
1.2400000000000007,9.840943136102222
1.2600000000000007,9.840431672830771
1.2800000000000007,9.83991945929408
1.3000000000000007,9.83940649272927
1.3200000000000007,9.838892787119946
1.3400000000000007,9.838378366706472
1.3600000000000008,9.837863266068123
1.3800000000000008,9.837347466960079
1.4000000000000008,9.83683098388294
1.4200000000000008,9.836313741125755
1.4400000000000008,9.835795920017066
1.4600000000000009,9.835277528662273
1.4800000000000009,9.834758544287787
1.5000000000000009,9.834238982901745
1.520000000000001,9.833718875114064
1.540000000000001,9.833198234211807
1.560000000000001,9.83267705563243
1.580000000000001,9.832155390807683
1.600000000000001,9.831633249152764
1.620000000000001,9.831110640350001
1.640000000000001,9.83058757097007
1.660000000000001,9.83006405754385
1.680000000000001,9.829540120025152
1.700000000000001,9.8290157738937
1.720000000000001,9.828491030747749
1.740000000000001,9.827965893444626
1.7600000000000011,9.827440370636479
1.7800000000000011,9.826914469787887
1.8000000000000012,9.82638817843846
1.8200000000000012,9.8258614936839
1.8400000000000012,9.825334437574728
1.8600000000000012,9.824806986688131
1.8800000000000012,9.824279154482516
1.9000000000000012,9.823750943137556
1.9200000000000013,9.823222369690491
1.9400000000000013,9.822693479279383
1.9600000000000013,9.822164284931606
1.9800000000000013,9.821634787355539
2.0000000000000013,9.821104997539983
2.0200000000000014,9.820574930124948
2.0400000000000014,9.820044598002708
2.0600000000000014,9.819514011834722
2.0800000000000014,9.818983182051552
2.1000000000000014,9.818452118391825
2.1200000000000014,9.817920834511185
2.1400000000000015,9.817389381063581
2.1600000000000015,9.816857721174022
2.1800000000000015,9.81632585579674
2.2000000000000015,9.81579380014613
2.2200000000000015,9.815261552263886
2.2400000000000015,9.814729116935805
2.2600000000000016,9.814196502542305
2.2800000000000016,9.813663712357174
2.3000000000000016,9.813130754106798
2.3200000000000016,9.812597628763214
2.3400000000000016,9.812064337181557
2.3600000000000017,9.811530899188677
2.3800000000000017,9.810997317138241
2.4000000000000017,9.810463593704405
2.4200000000000017,9.809929736001367
