"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual"
1.0,0.9999999999999999,0.8149468299904118,0.8365989977222866
19.0,0.016292446182415207,0.0284330440410558,0.029284331658706413
37.0,3.094174031391648E-4,7.774554985780213E-4,7.190322717534164E-4
55.0,6.4485621463639125E-6,2.8111041716529996E-5,2.14601292505161E-5
74.0,0.751348548935589,1.5088523286264632,1.508745224331838
92.0,0.01653187510317294,0.03867865304597365,0.04176794963290409
110.0,3.1764582046189116E-4,9.308527543994922E-4,9.615101003006271E-4
128.0,1.1037881960115355E-5,3.643311764152003E-5,3.658264580781149E-5
147.0,3.3616951114599894E-7,1.1789631873380856E-6,1.1322439332244298E-6
165.0,0.009528926603525098,0.024013904195625074,0.024864375507835955
183.0,1.8273618378789622E-4,5.548791946489763E-4,5.976914171042433E-4
201.0,4.5819249993421165E-6,1.6682618154238382E-5,1.6654006681887963E-5
220.0,7.39483950654739E-4,0.0014140494915409125,0.0013859821759639585
238.0,5.821585287714057E-6,2.0079983093093225E-5,1.858034313370053E-5
256.0,0.004935611420998307,0.005903045913091391,0.0059855267980101
274.0,3.958140353567484E-5,9.445434631293102E-5,9.411167649297871E-5
293.0,0.023798588147953048,0.5365703003765393,0.6042035432029331
311.0,8.458812065072508E-5,1.7084103131928E-4,1.6913242737215647E-4
329.0,1.0277524747225162E-6,4.747568753016576E-6,4.509039095966868E-6
347.0,1.919965182624322E-4,3.6800444021039224E-4,3.70101899327305E-4
366.0,1.5781925052075127E-6,7.026938141117172E-6,6.621393768861528E-6
384.0,3.259459253887396E-4,6.040885006339273E-4,6.2838562128006E-4
402.0,3.0112336342578774E-6,1.2655817991045064E-5,1.2026538908737032E-5
420.0,7.364359789555037E-4,0.0013707058467885762,0.0014158977169693408
439.0,4.862357391313013E-6,1.9437363506402114E-5,1.8890394201626752E-5
457.0,0.0012422572888911299,0.0022557624971918343,0.002245971829168885
475.0,9.760899724269771E-6,3.6105547576897766E-5,3.476831797341757E-5
493.0,0.0028208854197480054,0.0046152074672949905,0.004583131050487211
512.0,1.667409950763526E-5,5.421145821941563E-5,5.400906016277004E-5
530.0,0.004245495513832763,0.0061132796356460515,0.005725982962073678
548.0,3.586892142427022E-5,8.909402991932786E-5,9.319515187504728E-5
566.0,0.020924463176576952,0.5014717502900611,0.5786386101476481
585.0,6.306308395911535E-5,1.4602350712849358E-4,1.4361202747401373E-4
603.0,1.0736215329640882E-6,4.383703946943122E-6,3.997654868890822E-6
621.0,1.775260324651206E-4,3.375307675429611E-4,3.629278378945973E-4
639.0,2.081295670948255E-6,9.22844183399716E-6,8.556920019259212E-6
658.0,2.981363265589533E-4,5.565239725984796E-4,5.883342559061099E-4
676.0,3.053445716127374E-6,1.3024026280525344E-5,1.1946765300777891E-5
694.0,6.606234830710708E-4,0.0012262069202329318,0.001331123339693627
712.0,6.470939366734915E-6,2.5796582824169648E-5,2.4414289511457197E-5
731.0,8.434703025467174E-4,0.0016220583690151492,0.001653592800888467
749.0,7.516813845804069E-6,2.9427965954797027E-5,2.7370034265235445E-5
767.0,0.0037430465922387666,0.02308975453182846,0.02582626313468108
785.0,4.422267161229759E-5,1.2669842434598705E-4,1.144848492570751E-4
804.0,0.018681895542698924,0.47269828760187216,0.5592548882909675
822.0,8.057167995851285E-5,2.0952686083968998E-4,2.1098696563230104E-4
840.0,1.4337198670497893E-6,5.700608374237147E-6,6.057147659222502E-6
858.0,0.001321492595715595,0.002524389535854812,0.0025817690121578214
877.0,1.08161605888717E-5,3.260224328709326E-5,4.264165219725575E-5
895.0,2.488077816218572E-7,1.0075324855335853E-6,1.2784507229683817E-6
913.0,1.2045113976340676E-4,2.6086493152630756E-4,2.274847563712849E-4
931.0,1.8497869318162789E-6,8.754849965507146E-6,6.627882931190048E-6
950.0,3.273129702964448E-4,6.371910007961725E-4,6.545713378374438E-4
968.0,3.746975655994088E-6,1.6221186537307783E-5,1.4784709783261868E-5
986.0,7.49130696305021E-4,0.0013353998631684327,0.0013994498177687348
1004.0,8.22088204332675E-6,3.117406465098429E-5,3.0747552462222124E-5
1023.0,9.331963739284794E-4,0.0017531533133482602,0.0016406013227228246
1041.0,1.046246856607251E-5,3.159375958990087E-5,3.4152118430427846E-5
1059.0,0.0020493917451122694,0.003672289205477139,0.003388638637140035
1077.0,1.9778286487796627E-5,6.923730600346322E-5,6.570658003021963E-5
1096.0,0.0024729028794241797,0.004113551872325022,0.003885300708863537
1114.0,2.8195594100211423E-5,9.49610549236379E-5,8.621748727661266E-5
1132.0,0.0030235378491574837,0.020012933546856543,0.023928914977681185
