"Time","Total Kinetic Energy (integral of KE density) Monitor - Time: Total Kinetic Energy (integral of KE density) Monitor - Time (kg-m^5/s^2)"
0.02,9.867920925346088
0.04,9.866721974787849
0.06,9.86543264184764
0.08,9.864047960462532
0.1,9.862548589093375
0.12000000000000001,9.860939680003906
0.14,9.859239324247426
0.16,9.857462150514555
0.18,9.855623507904664
0.19999999999999998,9.85372748119025
0.21999999999999997,9.85178054104247
0.23999999999999996,9.849792898051568
0.25999999999999995,9.847772195035638
0.27999999999999997,9.845719021419022
0.3,9.843635068228718
0.32,9.841531638911274
0.34,9.839410492302706
0.36000000000000004,9.837272626350586
0.38000000000000006,9.835119327812302
0.4000000000000001,9.832953086744586
0.4200000000000001,9.830776125127748
0.4400000000000001,9.828590277677915
0.46000000000000013,9.826395895606645
0.48000000000000015,9.824194902528255
0.5000000000000001,9.821987600464297
0.5200000000000001,9.819775492824705
0.5400000000000001,9.817558467422248
0.5600000000000002,9.815338494960574
0.5800000000000002,9.81311523342768
0.6000000000000002,9.810889701624909
0.6200000000000002,9.8086615540029
0.6400000000000002,9.8064309394328
0.6600000000000003,9.804198434432518
0.6800000000000003,9.801964059748366
0.7000000000000003,9.79972815412885
0.7200000000000003,9.797490579092006
0.7400000000000003,9.795251329110933
0.7600000000000003,9.79301060227151
0.7800000000000004,9.790768508436788
0.8000000000000004,9.788525470747382
0.8200000000000004,9.786281623182633
0.8400000000000004,9.78403719512868
0.8600000000000004,9.781792020384342
0.8800000000000004,9.779545838420685
0.9000000000000005,9.77729908995009
0.9200000000000005,9.77505175584269
0.9400000000000005,9.772803607991044
0.9600000000000005,9.770554817710906
0.9800000000000005,9.76830541491145
1.0000000000000004,9.766055562146079
1.0200000000000005,9.763805250027543
1.0400000000000005,9.761554220967449
1.0600000000000005,9.759302302345171
1.0800000000000005,9.7570495336407
1.1000000000000005,9.754797991393144
1.1200000000000006,9.752546155590753
1.1400000000000006,9.750293672211598
1.1600000000000006,9.74804098515558
1.1800000000000006,9.745788101584946
1.2000000000000006,9.743535226375684
1.2200000000000006,9.741282311306199
1.2400000000000007,9.739029261178356
1.2600000000000007,9.73677605787465
1.2800000000000007,9.734522623325953
1.3000000000000007,9.732268978924411
1.3200000000000007,9.730014816455792
1.3400000000000007,9.727760254351235
1.3600000000000008,9.72550536801021
1.3800000000000008,9.72325012472266
1.4000000000000008,9.720994475254898
1.4200000000000008,9.718738358666647
1.4400000000000008,9.716482092990894
1.4600000000000009,9.714225574380823
1.4800000000000009,9.711968727591856
1.5000000000000009,9.709711475334327
1.520000000000001,9.707453711707853
1.540000000000001,9.705195290512812
1.560000000000001,9.7029360242162
1.580000000000001,9.700676112990664
1.600000000000001,9.698415798170076
1.620000000000001,9.696155223423345
1.640000000000001,9.69389419513993
1.660000000000001,9.69163270830712
1.680000000000001,9.689370741002815
1.700000000000001,9.687108416385477
1.720000000000001,9.684845756398197
1.740000000000001,9.682582796887205
1.7600000000000011,9.680320382768127
1.7800000000000011,9.67805771893731
1.8000000000000012,9.675794805364774
1.8200000000000012,9.673531072460193
1.8400000000000012,9.671267030994468
1.8600000000000012,9.669002908914878
1.8800000000000012,9.66673872317606
1.9000000000000012,9.664474439536615
1.9200000000000013,9.662210033481824
1.9400000000000013,9.659945577564985
1.9600000000000013,9.657681121077111
1.9800000000000013,9.655416432158688
2.0000000000000013,9.65315160541282
2.0200000000000014,9.650886656233958
2.0400000000000014,9.648621455638104
2.0600000000000014,9.646356211622248
2.0800000000000014,9.64409096687841
2.1000000000000014,9.641825747808685
2.1200000000000014,9.63956055441372
2.1400000000000015,9.637295433538652
2.1600000000000015,9.635030431293425
2.1800000000000015,9.632765591711324
2.2000000000000015,9.63050091912937
2.2200000000000015,9.628236276097237
2.2400000000000015,9.625971596634818
2.2600000000000016,9.623706909419745
2.2800000000000016,9.62144218156875
2.3000000000000016,9.61917742156356
2.3200000000000016,9.616912616777846
2.3400000000000016,9.61464778751216
2.3600000000000017,9.612382927738587
2.3800000000000017,9.61011804641629
2.4000000000000017,9.607853159277493
2.4200000000000017,9.60558830680359
2.4400000000000017,9.603323421484637
2.4600000000000017,9.601058590961653
2.4800000000000018,9.598793766885601
2.5000000000000018,9.596528951768548
2.520000000000002,9.594264154829652
2.540000000000002,9.591999428648885
2.560000000000002,9.58973477638649
2.580000000000002,9.587470053144774
2.600000000000002,9.585205620931042
2.620000000000002,9.582943026525093
2.640000000000002,9.580680371267011
