"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual"
1.0,1.0,1.0,1.0
19.0,0.028342590118412676,0.028728045045404053,0.0284330413605273
38.0,6.814503999427561E-4,7.302159138644854E-4,7.242510456846007E-4
56.0,2.0747998237833302E-5,2.4633205747686357E-5,2.2647722895051337E-5
75.0,5.493280172732206E-7,7.32209271710427E-7,5.902371364550217E-7
94.0,0.016154767179284418,0.007411030485539096,0.00836324810099573
112.0,3.6286467353992144E-4,2.8231883096855177E-4,3.332822575005381E-4
131.0,7.770700782011739E-6,9.142848654475194E-6,1.1455932809792418E-5
149.0,2.7785082868701657E-7,3.5888340724969316E-7,4.651208395144706E-7
168.0,0.005194376102818847,0.0025494551316192315,0.002891580920803183
187.0,8.491376680592966E-5,7.92067520646053E-5,9.694284552726343E-5
205.0,2.4920906045503923E-6,3.0356295670430238E-6,3.982673539049616E-6
224.0,0.03739653979164745,0.23894764142099043,0.4002685596171728
242.0,2.628475591342531E-4,2.245045561617813E-4,1.3479541317920426E-4
261.0,9.353208025482035E-6,6.119937074777962E-6,3.797207404699056E-6
280.0,0.0013606677341234425,0.0010309280550375901,6.127803217582424E-4
298.0,4.069292641037757E-5,3.3838362443213534E-5,2.0737041562136296E-5
317.0,0.00531919933205218,0.05028265289033046,0.08443590757069112
336.0,1.684285015908296E-4,1.553292360753693E-4,9.319693491288766E-5
354.0,7.740691128825201E-6,5.142029659458553E-6,3.1308122431987124E-6
373.0,8.109238260316064E-4,7.091077980061968E-4,4.1881678523002333E-4
391.0,2.8796061387665896E-5,2.338718263117511E-5,1.4144009915229344E-5
410.0,0.006731513340350149,0.011644279822995698,0.017938046106418696
429.0,1.3828704080035852E-4,1.2962468497853595E-4,7.729615330243895E-5
447.0,6.363165230468497E-6,4.296978798270981E-6,2.5820242174158916E-6
466.0,6.442843064229302E-4,5.908914875986271E-4,3.481292491856949E-4
484.0,2.3975826497110504E-5,1.9486014479290162E-5,1.1720355041971129E-5
503.0,0.005459266435848199,0.004542230511085286,0.0042743389903804035
522.0,1.1396468299452328E-4,1.0607313431517752E-4,6.256351515750425E-5
540.0,5.173298497136049E-6,3.5111173336045687E-6,2.0915554226953402E-6
559.0,7.128167425685603E-4,5.82911000042835E-4,3.451598825070862E-4
577.0,2.471331340758715E-5,1.905281291324416E-5,1.1578585857940614E-5
596.0,0.0052271776360682054,0.0032924375624414585,0.002007522843856987
