"Time","Total Kinetic Energy (integral of KE density) Monitor - Time: Total Kinetic Energy (integral of KE density) Monitor - Time (kg-m^5/s^2)"
0.02,9.881179797870184
0.04,9.877946723185321
0.06,9.874942996446453
0.08,9.871972749266849
0.1,9.868978728683885
0.12000000000000001,9.865953307162304
0.14,9.8628904129846
0.16,9.85978789988392
0.18,9.856644106484284
0.19999999999999998,9.853459149452096
0.21999999999999997,9.850232673130776
0.23999999999999996,9.84696473125154
0.25999999999999995,9.843655833764817
0.27999999999999997,9.840306591704955
0.3,9.836917489389458
0.32,9.833489318464174
0.34,9.830022565718528
0.36000000000000004,9.826517090131116
0.38000000000000006,9.822972827554297
0.4000000000000001,9.819393895655042
0.4200000000000001,9.815778041542625
0.4400000000000001,9.812128317627401
0.46000000000000013,9.808445506190324
0.48000000000000015,9.804727008638043
0.5000000000000001,9.800974938346467
0.5200000000000001,9.797191386206974
0.5400000000000001,9.79337719592296
0.5600000000000002,9.789531901549314
0.5800000000000002,9.78565596242836
0.6000000000000002,9.781752238461733
0.6200000000000002,9.777821249068115
0.6400000000000002,9.77386205610513
0.6600000000000003,9.769875789414671
0.6800000000000003,9.765863837919431
0.7000000000000003,9.761827142429361
0.7200000000000003,9.757767960596023
0.7400000000000003,9.753685408577812
0.7600000000000003,9.749578046625544
0.7800000000000004,9.745446596202017
0.8000000000000004,9.741292551779942
0.8200000000000004,9.737117045168784
0.8400000000000004,9.732920774994172
0.8600000000000004,9.728704106141336
0.8800000000000004,9.72446695001803
0.9000000000000005,9.72021185454857
0.9200000000000005,9.71593939900561
0.9400000000000005,9.711648927920635
0.9600000000000005,9.707340192228397
0.9800000000000005,9.703013865740711
1.0000000000000004,9.698670324581148
1.0200000000000005,9.694310376168419
1.0400000000000005,9.689934757033104
1.0600000000000005,9.685544021924544
1.0800000000000005,9.681139235255209
1.1000000000000005,9.676720389354967
1.1200000000000006,9.672286541328285
1.1400000000000006,9.667838834869833
1.1600000000000006,9.663378559414955
1.1800000000000006,9.658905278754123
1.2000000000000006,9.654419765516726
1.2200000000000006,9.649923293135608
1.2400000000000007,9.645415817179698
1.2600000000000007,9.640896699388296
1.2800000000000007,9.636366605502873
1.3000000000000007,9.631826389918297
1.3200000000000007,9.627275993854981
1.3400000000000007,9.622716721176621
1.3600000000000008,9.618147473677547
1.3800000000000008,9.61357027567145
1.4000000000000008,9.608984777495
1.4200000000000008,9.604390918507683
1.4400000000000008,9.599789949312733
1.4600000000000009,9.595181097439522
1.4800000000000009,9.59056564152536
1.5000000000000009,9.585942770285813
1.520000000000001,9.581313739840404
1.540000000000001,9.57667795847502
1.560000000000001,9.57203642169289
1.580000000000001,9.567388778407715
1.600000000000001,9.562736006208869
1.620000000000001,9.558077579664586
1.640000000000001,9.553413962494773
1.660000000000001,9.548745557737313
1.680000000000001,9.544072776717242
1.700000000000001,9.539395788299094
1.720000000000001,9.534714859385803
1.740000000000001,9.530030249057331
1.7600000000000011,9.525342197316538
1.7800000000000011,9.520650932991549
1.8000000000000012,9.515956722154463
1.8200000000000012,9.51125985691883
