"Time","Total Kinetic Energy (integral of KE density) Monitor - Time: Total Kinetic Energy (integral of KE density) Monitor - Time (kg-m^5/s^2)"
0.02,9.867319703127812
0.04,9.864090206920489
0.06,9.860793766175195
0.08,9.857415237786565
0.1,9.853954093880246
0.12000000000000001,9.850370349062734
0.14,9.84666905024407
0.16,9.842852091038173
0.18,9.838924796491781
0.19999999999999998,9.834906599471516
0.21999999999999997,9.830801617978768
0.23999999999999996,9.826598216314167
0.25999999999999995,9.822299622573016
0.27999999999999997,9.81790280452209
0.3,9.813416753487461
0.32,9.808841041621195
0.34,9.804182042598889
0.36000000000000004,9.799443202647518
0.38000000000000006,9.794628468283847
0.4000000000000001,9.789736213661051
0.4200000000000001,9.784767209165071
0.4400000000000001,9.779721112934618
0.46000000000000013,9.774596277706756
0.48000000000000015,9.769393421938894
0.5000000000000001,9.764117914781405
0.5200000000000001,9.758774669848304
0.5400000000000001,9.753363265683411
0.5600000000000002,9.747886168654004
0.5800000000000002,9.742339812586602
0.6000000000000002,9.736730942568519
0.6200000000000002,9.731065327142078
0.6400000000000002,9.72534192847557
0.6600000000000003,9.719562107740103
0.6800000000000003,9.71372554757485
0.7000000000000003,9.707833752122422
0.7200000000000003,9.701888657146508
0.7400000000000003,9.695892646563962
0.7600000000000003,9.689848968172946
0.7800000000000004,9.68375663667518
0.8000000000000004,9.6776209282692
0.8200000000000004,9.671441500736847
0.8400000000000004,9.665218967128183
0.8600000000000004,9.658954668018385
0.8800000000000004,9.652642332638422
0.9000000000000005,9.646285433018354
0.9200000000000005,9.63988694264174
0.9400000000000005,9.633451109040596
0.9600000000000005,9.62697978159171
0.9800000000000005,9.6204726925646
1.0000000000000004,9.613930640084003
1.0200000000000005,9.607345989780814
1.0400000000000005,9.60072704987941
1.0600000000000005,9.594074733622808
1.0800000000000005,9.587389751277422
1.1000000000000005,9.580672127144776
1.1200000000000006,9.573921470929843
1.1400000000000006,9.56713921126953
1.1600000000000006,9.560325593963015
1.1800000000000006,9.553478695270933
1.2000000000000006,9.546596800372164
1.2200000000000006,9.539685045193842
1.2400000000000007,9.532746611394886
1.2600000000000007,9.525777368616144
1.2800000000000007,9.518777349603637
1.3000000000000007,9.51174842556218
1.3200000000000007,9.504693638979155
1.3400000000000007,9.497614233672103
1.3600000000000008,9.490507220923732
1.3800000000000008,9.483373019708763
1.4000000000000008,9.47621687917155
1.4200000000000008,9.469038450818427
1.4400000000000008,9.461835261072961
1.4600000000000009,9.454608464476848
1.4800000000000009,9.447362919391644
1.5000000000000009,9.440098788801178
1.520000000000001,9.43281617372101
1.540000000000001,9.42551193521162
1.560000000000001,9.418187913907074
1.580000000000001,9.410845446763673
1.600000000000001,9.40348472957417
1.620000000000001,9.396107489073557
1.640000000000001,9.388713376537124
1.660000000000001,9.38130233130609
1.680000000000001,9.37387163818979
1.700000000000001,9.366424448530847
1.720000000000001,9.35896205221304
1.740000000000001,9.35148408795095
1.7600000000000011,9.343990804460393
1.7800000000000011,9.336483089037564
1.8000000000000012,9.32896180513447
1.8200000000000012,9.32142737107415
1.8400000000000012,9.313877498839883
1.8600000000000012,9.306313438982995
1.8800000000000012,9.298739217900255
1.9000000000000012,9.291153970554234
1.9200000000000013,9.283556422032172
1.9400000000000013,9.275947765729537
1.9600000000000013,9.268330409145408
1.9800000000000013,9.260702155408904
2.0000000000000013,9.253063839711665
2.0200000000000014,9.245413196860152
2.0400000000000014,9.237756622099191
2.0600000000000014,9.230101269416657
2.0800000000000014,9.222441695779416
2.1000000000000014,9.214772173508878
2.1200000000000014,9.207090628076136
2.1400000000000015,9.199403934111574
2.1600000000000015,9.191713456950296
2.1800000000000015,9.184016877998296
2.2000000000000015,9.176313520023777
2.2200000000000015,9.168605839099396
2.2400000000000015,9.160894624297526
2.2600000000000016,9.153179451305592
2.2800000000000016,9.14546030900171
2.3000000000000016,9.137738541155993
2.3200000000000016,9.130013761963136
2.3400000000000016,9.122284950575455
2.3600000000000017,9.114552605031143
2.3800000000000017,9.106817231784168
2.4000000000000017,9.099078765034612
2.4200000000000017,9.091338667164202
2.4400000000000017,9.083599266504796
2.4600000000000017,9.075859007878861
2.4800000000000018,9.068118183774699
2.5000000000000018,9.060376985571587
2.520000000000002,9.052634593217515
2.540000000000002,9.044891953995911
2.560000000000002,9.03714915337823
2.580000000000002,9.029406967027331
2.600000000000002,9.021665773280285
2.620000000000002,9.01392511865394
2.640000000000002,9.00618502760064
2.660000000000002,8.998450210664883
2.680000000000002,8.990717581515163
2.700000000000002,8.982985505564605
2.720000000000002,8.97525302729299
2.740000000000002,8.967520755301962
2.760000000000002,8.959791344171384
2.780000000000002,8.952065002347439
2.800000000000002,8.944341840593165
2.820000000000002,8.936621899972884
2.840000000000002,8.928904787004722
2.860000000000002,8.921190537794475
2.880000000000002,8.913480578374914
2.900000000000002,8.905775925131035
2.920000000000002,8.898075637021256
2.940000000000002,8.890380733010065
2.960000000000002,8.882690855584148
2.980000000000002,8.875006463867479
3.000000000000002,8.86732753631324
