"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual"
1.0,1.0,1.0,1.0
23.0,0.012862392317557035,0.013254621570104328,0.013177689996808612
45.0,1.764080470351824E-4,1.9276115619162014E-4,1.8848058728427726E-4
67.0,2.532520444049967E-6,3.224089129422607E-6,2.77065914021421E-6
89.0,0.055308604716446,0.02236420334225279,0.024820682875348
111.0,5.654972449011375E-4,4.080570198600929E-4,4.7848407801423894E-4
133.0,6.81014898699952E-6,7.669627726112608E-6,9.680661358176784E-6
155.0,0.0762629179255865,0.026655634484305003,0.02869192464135717
177.0,7.213048419483599E-4,4.926288939259592E-4,5.77139455243712E-4
199.0,7.772135777243779E-6,9.026542516297617E-6,1.156169156908263E-5
221.0,1.4239717847863395E-7,1.7092920825644764E-7,2.3301209456263393E-7
243.0,2.261361305639554E-4,1.825662375699922E-4,1.0895894829034255E-4
265.0,4.6920580563306205E-6,2.8204345860258057E-6,1.7503893409064454E-6
287.0,4.013015695271355E-4,3.228174163484084E-4,1.940340118312416E-4
309.0,7.555405709461196E-6,4.990942624743972E-6,3.1107793772463383E-6
332.0,6.236258708879636E-4,4.726058182043441E-4,2.83320338597944E-4
354.0,1.0178793784554463E-5,7.317986656839431E-6,4.5291206310433575E-6
376.0,0.0011926607510319713,8.387260815035758E-4,4.97363518581244E-4
398.0,1.6831099751227927E-5,1.2933795416033211E-5,7.91157428861093E-6
420.0,0.0029439145809866726,0.0017998201662748111,0.0010629952910731777
442.0,3.378642043297883E-5,2.7479702463249823E-5,1.6755469474049156E-5
464.0,0.0056457264991927585,0.0031916475027090477,0.00195713127568981
486.0,5.701125472918128E-5,4.901598902616886E-5,2.9386618887280514E-5
508.0,0.005208552192059336,0.05035640041037385,0.08442690209735686
530.0,9.900879094641547E-5,8.633928380560146E-5,5.1212707726465415E-5
552.0,2.169336756887507E-6,1.3508477495459065E-6,7.932553857905905E-7
574.0,1.8062531338985087E-4,1.5282485770814978E-4,9.032473097997364E-5
596.0,3.6049677298150146E-6,2.3704680348022646E-6,1.410621405923558E-6
618.0,3.414962058377067E-4,2.7021560123620625E-4,1.5875343998691748E-4
641.0,5.1018862489552875E-6,3.4521030207890136E-6,2.053855296171684E-6
663.0,4.472740624918185E-4,3.9768037066861345E-4,2.3442949968469534E-4
685.0,8.21854673219062E-6,6.1541992329719695E-6,3.6887087792003306E-6
707.0,8.444744367400083E-4,7.040718541521471E-4,4.114606060149637E-4
729.0,1.3888966152846058E-5,1.082438966628517E-5,6.50405074193867E-6
751.0,0.0017905501287584435,0.0012287223284651464,6.99796075124494E-4
773.0,2.3835463617184253E-5,1.871730872324906E-5,1.1072196015851627E-5
795.0,0.0063167847541890886,0.002653001367600973,0.0014972089891696018
817.0,7.493694449995182E-5,4.18313797314659E-5,2.42588808320343E-5
839.0,1.11025029246379E-6,6.531134795658662E-7,3.6670193826478304E-7
861.0,3.16066160110452E-4,2.2418423441082386E-4,1.294658815385701E-4
883.0,4.992204029554456E-6,3.4395206324297097E-6,2.009408424335558E-6
905.0,0.00108722591284076,8.532720990222578E-4,4.875464015724854E-4
927.0,1.6582224546915467E-5,1.2974738505414584E-5,7.741302267476366E-6
950.0,0.0026307709282483334,0.0018184308567995265,0.0010354897287275016
972.0,3.4221797198134616E-5,2.7661519289267885E-5,1.6520541871967782E-5
994.0,0.0066096710651424246,0.0116874294432824,0.017962001742760875
1016.0,8.738680686954928E-5,7.028704289254002E-5,4.202480135386799E-5
1038.0,1.7154330801310502E-6,1.0793833332988715E-6,6.418276645224291E-7
1060.0,3.1807822755770907E-4,1.8749556836680252E-4,1.107738881946881E-4
1082.0,4.625829642470866E-6,2.874264874504271E-6,1.684709962551533E-6
1104.0,0.0019074874550138975,0.0010491334658833526,6.133416068098259E-4
