"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual"
1.0,1.0,1.0,1.0
18.0,0.026807187574004087,0.03497476336487921,0.033856455577085665
36.0,5.927984482299911E-4,0.0011422417710097678,0.0010689388497814585
54.0,1.6550384378183785E-5,4.037441061908733E-5,3.4738068916847264E-5
71.0,6.929083348569973E-7,1.7937668976199328E-6,1.3626002573525883E-6
89.0,0.034847962768480595,0.020021491544222052,0.020233116238995614
107.0,6.358899465421849E-4,6.221706723884386E-4,6.750624982148249E-4
125.0,1.3917956608158612E-5,2.293368899209634E-5,2.824135131532215E-5
142.0,3.9650702651026345E-7,1.0854979682145563E-6,1.2463017054433933E-6
160.0,0.01778676390424317,0.0099315802585077,0.010011639354317184
178.0,3.355108889807166E-4,2.9972487911182085E-4,3.212939798888907E-4
196.0,7.369815944142523E-6,1.096066015210049E-5,1.3128132077624876E-5
213.0,2.5109704740126206E-7,5.263645462805683E-7,5.996908255875519E-7
231.0,5.315603400813444E-4,5.055540902168355E-4,3.0635561074647115E-4
249.0,9.265582999716505E-6,1.2639179301324078E-5,9.438780205293753E-6
267.0,0.0010832535909237352,9.214303200029331E-4,5.51398395887407E-4
284.0,2.0324771763262378E-5,2.6818061627560673E-5,1.9140075645175016E-5
302.0,0.0021606802905753332,0.0015760480594560306,9.884995356577314E-4
320.0,3.076810561690407E-5,4.0342151462620374E-5,2.849735144246315E-5
337.0,0.00456750228349192,0.00284241254791337,0.0017959395826255213
355.0,5.68298463621499E-5,7.06533061211535E-5,4.80640150023847E-5
373.0,0.0054929250947776355,0.0033179148049788418,0.0021064531978361787
391.0,6.654236779532383E-5,8.405619153692469E-5,5.664433363988845E-5
408.0,0.0071137817611129,0.013635064839626197,0.01911678052432829
426.0,1.0354983261041937E-4,1.252179553270694E-4,8.260704747033192E-5
444.0,0.006720980671533382,0.013411289651925834,0.018936032620996773
462.0,9.995622608724948E-5,1.2426397281294622E-4,8.313215623668468E-5
479.0,0.005033942005794435,0.05937201156036632,0.09050949940242141
497.0,1.2637367098646292E-4,1.5565876881915204E-4,1.0110857872159657E-4
515.0,0.004260163717029998,0.0587741666796744,0.09036434015156106
533.0,1.2348871911343644E-4,1.478311152155168E-4,1.0251706073356403E-4
550.0,4.185725986286133E-6,5.0309103600219965E-6,3.7014575188000327E-6
568.0,1.8134715181543793E-4,2.1713625899807918E-4,1.4551211210146378E-4
586.0,4.417888621890504E-6,6.286200624878922E-6,4.5382010666025465E-6
