  j        y/delta             y+          u_rms          v_rms          w_rms    omega_x_rms    omega_y_rms    omega_z_rms          p_rms
176   0.861367E+00   0.553463E+03   0.875236E+00   0.659131E+00   0.669081E+00   0.247689E-01   0.237383E-01   0.248512E-01   0.847323E+00
177   0.869474E+00   0.558672E+03   0.866492E+00   0.656511E+00   0.664224E+00   0.245386E-01   0.235479E-01   0.247045E-01   0.837319E+00
178   0.877589E+00   0.563886E+03   0.858070E+00   0.654014E+00   0.659570E+00   0.243110E-01   0.233674E-01   0.245604E-01   0.827705E+00
179   0.885713E+00   0.569106E+03   0.850013E+00   0.651645E+00   0.655126E+00   0.241012E-01   0.231971E-01   0.244205E-01   0.818531E+00
180   0.893844E+00   0.574331E+03   0.842347E+00   0.649409E+00   0.650896E+00   0.239065E-01   0.230372E-01   0.242872E-01   0.809819E+00
181   0.901983E+00   0.579560E+03   0.835085E+00   0.647314E+00   0.646885E+00   0.237175E-01   0.228879E-01   0.241641E-01   0.801609E+00
182   0.910128E+00   0.584794E+03   0.828240E+00   0.645371E+00   0.643101E+00   0.235487E-01   0.227491E-01   0.240575E-01   0.793983E+00
183   0.918279E+00   0.590031E+03   0.821831E+00   0.643583E+00   0.639555E+00   0.233919E-01   0.226213E-01   0.239660E-01   0.786957E+00
184   0.926435E+00   0.595272E+03   0.815889E+00   0.641954E+00   0.636264E+00   0.232406E-01   0.225045E-01   0.238851E-01   0.780538E+00
185   0.934597E+00   0.600516E+03   0.810447E+00   0.640489E+00   0.633249E+00   0.231098E-01   0.223989E-01   0.238158E-01   0.774760E+00
186   0.942763E+00   0.605763E+03   0.805536E+00   0.639189E+00   0.630529E+00   0.229931E-01   0.223049E-01   0.237579E-01   0.769598E+00
187   0.950932E+00   0.611012E+03   0.801187E+00   0.638054E+00   0.628124E+00   0.228884E-01   0.222226E-01   0.237105E-01   0.765047E+00
188   0.959105E+00   0.616263E+03   0.797435E+00   0.637083E+00   0.626062E+00   0.228089E-01   0.221524E-01   0.236744E-01   0.761143E+00
189   0.967281E+00   0.621517E+03   0.794324E+00   0.636278E+00   0.624370E+00   0.227386E-01   0.220946E-01   0.236455E-01   0.757873E+00
190   0.975459E+00   0.626771E+03   0.791892E+00   0.635642E+00   0.623060E+00   0.226741E-01   0.220496E-01   0.236207E-01   0.755254E+00
191   0.983638E+00   0.632027E+03   0.790158E+00   0.635181E+00   0.622131E+00   0.226331E-01   0.220172E-01   0.236015E-01   0.753354E+00
192   0.991819E+00   0.637283E+03   0.789127E+00   0.634901E+00   0.621577E+00   0.226057E-01   0.219978E-01   0.235875E-01   0.752186E+00
193   0.100000E+01   0.642540E+03   0.788786E+00   0.634807E+00   0.621394E+00   0.225918E-01   0.219913E-01   0.235816E-01   0.751783E+00
