  j        y/delta             y+          u_rms          v_rms          w_rms    omega_x_rms    omega_y_rms    omega_z_rms          p_rms
 42   0.557313E-01   0.358096E+02   0.231644E+01   0.925771E+00   0.139389E+01   0.152803E+00   0.149718E+00   0.156090E+00   0.282144E+01
 43   0.584559E-01   0.375603E+02   0.228290E+01   0.940459E+00   0.139522E+01   0.150176E+00   0.145865E+00   0.151206E+00   0.281234E+01
 44   0.612436E-01   0.393515E+02   0.225076E+01   0.953883E+00   0.139585E+01   0.147516E+00   0.142114E+00   0.146560E+00   0.280172E+01
 45   0.640941E-01   0.411830E+02   0.222006E+01   0.966108E+00   0.139584E+01   0.144836E+00   0.138477E+00   0.142155E+00   0.278971E+01
 46   0.670072E-01   0.430548E+02   0.219082E+01   0.977201E+00   0.139524E+01   0.142150E+00   0.134963E+00   0.137985E+00   0.277648E+01
 47   0.699828E-01   0.449667E+02   0.216303E+01   0.987224E+00   0.139413E+01   0.139473E+00   0.131575E+00   0.134041E+00   0.276212E+01
 48   0.730206E-01   0.469187E+02   0.213668E+01   0.996241E+00   0.139255E+01   0.136810E+00   0.128318E+00   0.130315E+00   0.274678E+01
 49   0.761205E-01   0.489104E+02   0.211173E+01   0.100431E+01   0.139055E+01   0.134167E+00   0.125191E+00   0.126798E+00   0.273057E+01
 50   0.792822E-01   0.509420E+02   0.208814E+01   0.101150E+01   0.138818E+01   0.131554E+00   0.122192E+00   0.123475E+00   0.271358E+01
 51   0.825055E-01   0.530131E+02   0.206587E+01   0.101785E+01   0.138545E+01   0.128972E+00   0.119320E+00   0.120326E+00   0.269593E+01
 52   0.857902E-01   0.551237E+02   0.204487E+01   0.102343E+01   0.138241E+01   0.126430E+00   0.116572E+00   0.117338E+00   0.267771E+01
 53   0.891362E-01   0.572736E+02   0.202508E+01   0.102830E+01   0.137907E+01   0.123943E+00   0.113942E+00   0.114506E+00   0.265904E+01
 54   0.925431E-01   0.594626E+02   0.200643E+01   0.103252E+01   0.137547E+01   0.121508E+00   0.111426E+00   0.111823E+00   0.264000E+01
 55   0.960107E-01   0.616907E+02   0.198883E+01   0.103612E+01   0.137162E+01   0.119125E+00   0.109020E+00   0.109277E+00   0.262070E+01
 56   0.995388E-01   0.639577E+02   0.197223E+01   0.103917E+01   0.136756E+01   0.116798E+00   0.106717E+00   0.106856E+00   0.260118E+01
 57   0.103127E+00   0.662634E+02   0.195655E+01   0.104171E+01   0.136330E+01   0.114525E+00   0.104512E+00   0.104554E+00   0.258152E+01
 58   0.106776E+00   0.686077E+02   0.194173E+01   0.104379E+01   0.135884E+01   0.112314E+00   0.102399E+00   0.102360E+00   0.256180E+01
 59   0.110484E+00   0.709903E+02   0.192770E+01   0.104545E+01   0.135420E+01   0.110172E+00   0.100372E+00   0.100268E+00   0.254205E+01
 60   0.114252E+00   0.734113E+02   0.191439E+01   0.104674E+01   0.134940E+01   0.108092E+00   0.984275E-01   0.982687E-01   0.252235E+01
 61   0.118079E+00   0.758703E+02   0.190174E+01   0.104767E+01   0.134448E+01   0.106071E+00   0.965595E-01   0.963471E-01   0.250272E+01
 62   0.121965E+00   0.783673E+02   0.188967E+01   0.104829E+01   0.133945E+01   0.104109E+00   0.947646E-01   0.945001E-01   0.248320E+01
 63   0.125910E+00   0.809020E+02   0.187811E+01   0.104863E+01   0.133434E+01   0.102204E+00   0.930385E-01   0.927300E-01   0.246383E+01
