"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual"
1.0,1.0,0.8889215111488571,0.9153521953374342
16.0,0.032447247304502984,0.05351665110542442,0.05581731755234556
31.0,0.0011932047972268056,0.0025674240831055654,0.0024939684867836373
47.0,3.6959865272346974E-5,1.1836678625086248E-4,1.0059443377757126E-4
62.0,1.7294278324006803E-6,8.481942204784915E-6,5.794582510153308E-6
77.0,0.4003384866846375,1.009884141383956,1.0128085436489933
93.0,0.013106689628521816,0.03253875448885111,0.034802932369385316
108.0,4.786321759177946E-4,0.0012503835951520467,0.0013753210496361384
124.0,1.696330014488737E-5,5.870122081541516E-5,6.601012916040035E-5
139.0,9.62146371931314E-7,3.96081597714025E-6,4.196548261130691E-6
154.0,0.0188198863203152,0.04727211420484136,0.0478023960067977
170.0,5.115939919280311E-4,0.0015045839258491342,0.0016316702243846521
185.0,2.0745949450604436E-5,7.556561051701392E-5,7.986947676389163E-5
200.0,1.1018364538105563E-6,4.710009356960896E-6,4.653999663215721E-6
216.0,3.877782061071936E-4,8.317127969534119E-4,7.529389572265791E-4
231.0,1.1643064277895791E-5,3.837178797613277E-5,4.279774385138605E-5
247.0,0.021157926877840433,0.6069971869491517,0.6858157849609987
262.0,1.6837561826578995E-4,4.6149815339183376E-4,3.981428962587212E-4
277.0,4.143383084523103E-6,1.895419442847422E-5,1.8838032240458484E-5
293.0,0.001803477731595916,0.12846462445574022,0.14445736314124621
308.0,1.032304411699801E-4,3.0308268351162196E-4,2.489513366571739E-4
323.0,2.506972344380346E-6,1.418739407114954E-5,1.3162996542202429E-5
339.0,0.0026137203713955367,0.004787067411980137,0.004256660368728824
354.0,4.629463819053956E-5,1.65113204536576E-4,1.5971975398629786E-4
370.0,1.132409413104948E-6,6.5399282729307485E-6,6.184507961832713E-6
385.0,5.062789339447938E-4,0.0012245437912363284,0.0011203011428947765
400.0,9.886009024414654E-6,4.650460564022089E-5,4.3890012622513544E-5
416.0,0.0031021760624477266,0.023061700013563738,0.026664448699501225
431.0,7.353536417888271E-5,2.3214761870187162E-4,2.2455285294704837E-4
446.0,1.937639200256856E-6,1.0741375927677508E-5,1.0306041271114816E-5
462.0,6.181749970961923E-4,0.0014062903631834871,0.0013373181696371868
477.0,1.2524674043456015E-5,5.353621752294415E-5,5.2132733308136695E-5
493.0,0.002885728115171547,0.11192940785087822,0.12945918290987563
508.0,2.0428903116264646E-4,3.8141871788251153E-4,4.297532089085472E-4
523.0,6.291013584288195E-6,2.0596433671729072E-5,2.0045846788014212E-5
539.0,9.937905317447518E-4,0.002236159412674563,0.0020875031377375146
554.0,1.9873763601093212E-5,7.755150337289987E-5,7.330293604652955E-5
569.0,6.82164029444202E-7,4.174994739194429E-6,3.3170230767198E-6
585.0,2.327116554760266E-4,4.875654153007802E-4,5.067840806633865E-4
600.0,6.08162835734793E-6,2.5617767400127956E-5,2.4323973894311615E-5
616.0,0.0017311533675097549,0.003253951850164763,0.0029230836477547625
631.0,4.072908704450804E-5,1.3175739375050378E-4,1.267264695559972E-4
646.0,1.438944949112738E-6,7.301515950677514E-6,5.632044801914343E-6
662.0,3.1271788455724864E-4,7.260964542016856E-4,6.922389795628231E-4
677.0,9.350794649010816E-6,3.517806408576384E-5,2.9947152844662812E-5
692.0,0.0034138216873842876,0.01928536842993608,0.02331112155957793
708.0,9.410717515445874E-5,2.4560839598769584E-4,2.1859800401126153E-4
723.0,3.2832811608487226E-6,1.384920045879393E-5,1.0783433336844279E-5
739.0,0.0020115017004038943,0.0036350740382486164,0.0031809151338925367
754.0,5.2572665760757176E-5,1.4877871739920622E-4,1.472418212191256E-4
769.0,1.998667847019296E-6,8.876791485384492E-6,7.056749662809369E-6
